_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,how_many_injured_or_dead_if_people,people_or_infrastructure,people_or_infrastructure:confidence,what_infrastructure_was_damaged_if_infrastructure,category,how_many_injured_or_dead_if_people_gold,id,people_or_infrastructure_gold,screenname,text,userid
197560956,true,golden,8,9/6/2012 12:48:30,"

house
house
n/a
n/a
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.7573,"house
house


n/a
n/a
n/a
house",Casualties and damage,,77449750374395904,"Infrastructure (building, bridge, road, etc.) damaged",IvanTheTurrible,"My house was blown away by a tornado, but a famous person just 'd something about my town. Who needs a house?",33371804
197560957,true,golden,7,9/6/2012 12:43:58,"
church

n/a
n/a
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"Church

church
n/a
n/a
n/a
church",Casualties and damage,,74098675349073904,"Infrastructure (building, bridge, road, etc.) damaged",DanielCrane81, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,195277911
197560958,false,finalized,3,9/6/2012 13:12:49,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"house
n/a
house",Casualties and damage,,73170219010494400,,Jethro_Aryeh,Tornado is gone and woman is assessing the damage to her house and still can barely stand because of the wind.,115299036
197560959,true,golden,4,9/6/2012 13:11:13,"
n/a

",Not specified (maybe people or infrastructure),1.0,"
n/a

",Casualties and damage,,78918229342420800,"Infrastructure (building, bridge, road, etc.) damaged
Both people and infrastructure
Not specified (maybe people or infrastructure)",akcanwjanitor, @WISCTV_News3: Weather Service Confirms to News 3 an EF1 Tornado did damage in Verona. We'll have more details online shortly.,90613781
197560960,true,golden,8,9/6/2012 13:15:43,"

n/a
n/a
n/a

n/a
",Not specified (maybe people or infrastructure),0.7281,"

n/a
n/a
n/a

n/a
",Casualties and damage,,73454719217045504,"Not specified (maybe people or infrastructure)
Not damage-related",ChristopherAbel,"After hearing the tornado sirens, Pastor Daniel just told all the staff to go hide downstairs... before leaving in his tiny red car...",14513905
197560961,true,golden,7,9/6/2012 13:12:20,"
n/a
n/a
n/a
n/a

",Not specified (maybe people or infrastructure),0.8449,"
n/a
n/a
n/a
n/a

",Casualties and damage,,78638855741374400,"Infrastructure (building, bridge, road, etc.) damaged
Both people and infrastructure
Not specified (maybe people or infrastructure)",DJSCUFFS,Driving.. it appears my area got hit the worst. Tornado in my backyard.. Next street over shut down w/ fire trucks and caution tape..,69347686
197560962,false,finalized,3,9/6/2012 13:09:48,"n/a

",Not specified (maybe people or infrastructure),1.0,"n/a

",Casualties and damage,,77079355364343808,,emilyroseartist, @velvetrasputin: The tornado damage in N. Minneapolis.   http://youtu.be/icvSJUWHHi0 -- damn... just glad my friends are all safe,24076368
197560963,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73875018001563600,,badenusf,"We just passed some major tornado damage in Birmingham, AL",290005692
197560964,true,golden,6,9/6/2012 12:34:25,"134
134
134
134
134
134",People: dead,1.0,"

n/a

n/a
",Casualties and damage,134,76014668220600304,People: dead,rschallom," @stefkienstra: JOPLIN -- Gov. Jay Nixon announces zero people missing, 134 reported deceased. #JoplinTornado",20162581
197560965,true,golden,3,9/6/2012 13:07:44,"
n/a
",People: dead,0.3579,"
n/a
",Casualties and damage,,74914138601688800,People: dead,JD_Gaffle," @BreakingNews: Watch live: Memorial service for tornado victims in Joplin, Mo. http://on.msnbc.com/kpdG7A",22382549
197560966,false,finalized,3,9/6/2012 13:14:54,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,72842906725138400,,Geoje_Party," @EKaiserReuters: ""Joplin looked like some of the battles I saw in Korea,"" Korean war veteran and Missouri #tornado survivor says: htt ...",40188579
197560967,false,finalized,4,9/6/2012 13:15:43,"
n/a

",Not damage-related,0.5272,"
n/a

",Casualties and damage,,76078425688911808,,SwaggernautBen,@RealWizKhalifa tornado just hit my town and the sky is #Black&Yellow so now have the song stuck in my head,213314050
197560968,false,finalized,4,9/6/2012 13:14:54,"
n/a

",Not damage-related,0.5272,"
n/a

",Casualties and damage,,73846641647550400,,KyleeCoffman,Full list of missing persons in #Joplin that was released this morning... http://bit.ly/mwwNIs,16201506
197560969,true,golden,4,9/6/2012 12:27:44,"
n/a
n/a
",People: dead,0.7529,"
n/a
n/a
",Casualties and damage,,76380543012446208,"People: dead
Not damage-related",Chenoa_F,RIP to the people that died in  the springfeild tornado &lt;3333Ã¢â„¢Â¥Ã¢â„¢Â¥,89176091
197560970,false,finalized,4,9/6/2012 13:15:43,"
n/a

",Not damage-related,0.5272,"
n/a

",Casualties and damage,,73232077675442000,,meetjuliet,If everything is where you left it earlier...you're blessed #prayforjoplin #joplin,243464318
197560971,false,finalized,3,9/6/2012 12:34:53,"
n/a
n/a","Infrastructure (building, bridge, road, etc.) damaged",0.6697,"church
n/a
n/a",Casualties and damage,,73044903042629600,,lhwhitmire, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,61529866
197560972,false,finalized,3,9/6/2012 13:11:13,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"church
n/a
church",Casualties and damage,,72932164118908800,,Mateus_7_6, @andersoncooper: I took this earlier. Cross still stands above destroyed church #Joplin http://yfrog.com/h2d7rgrj,268241420
197560973,true,golden,6,9/6/2012 13:14:54,"

n/a
n/a

","Infrastructure (building, bridge, road, etc.) damaged",0.8373,"
building
n/a
n/a
bldg
",Casualties and damage,,76683453143318400,"Infrastructure (building, bridge, road, etc.) damaged",sydneywilliams,"Client responded to a billing statement saying their bldg had been destroyed in a tornado and they lost a few invoices. Wow, awful!",17496180
197560974,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,74920217951744000,,JB_Lover866, @Bill_Gross: Amazing - and stunningly sad - pictures of before and after the #Tornado swept through #Joplin: http://j.mp/lfa80S from  ...,259468775
197560975,false,finalized,3,9/6/2012 12:38:29,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,72655439342469104,,EvangelMag,Pray forÃ‚Â #Joplin. At least 89 dead & severe T-storms headed their way. The front dipped below us in Springfield last night.,105237636
197560976,false,finalized,3,9/6/2012 12:50:17,"1
1
",People: dead,1.0,"n/a

",Casualties and damage,,73241192829165504,,Youxia88," @stormchaser4850: Edmond, OK woman dies in car accident while driving to beat tornado http://bit.ly/kWzV3x",167862232
197560977,false,finalized,3,9/6/2012 12:40:22,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73783145597636608,,,"SHOCKING PHOTOGRAPHIC  account of the tornado devastation in Joplin, Missouri... Like a second hometown to me.",
197560978,false,finalized,4,9/6/2012 13:14:19,"
n/a

",Not specified (maybe people or infrastructure),0.7364,"
n/a

",Casualties and damage,,73499392077873104,,jasonthistle,Eqecat predicts Joplin Tornado damage between $1-3 billion. Take a look at the radar image of the twister: http://goo.gl/vyMmc,273012474
197560979,false,finalized,3,9/6/2012 12:36:20,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,72656106211647200,,sorandom," @BBCWorld: US authorities confirm at least 89 killed after massive #tornado hits Joplin, southwest Missouri",14115793
197560980,false,finalized,4,9/6/2012 12:34:53,"
n/a

n/a",Not specified (maybe people or infrastructure),0.7529,"neighborhood
n/a

n/a",Casualties and damage,,76042487814307808,,beachcoaststyle," @txstormchasers: UNCONFIRMED reports out of #Springfield , MA from police scanner traffic of a neighborhood wiped out and numerous in ...",273090769
197560981,false,finalized,3,9/6/2012 12:34:53,"n/a

n/a","Infrastructure (building, bridge, road, etc.) damaged",0.6606,"n/a

n/a",Casualties and damage,,73080539082526704,,ray331, @MsSavBee:  @KSTP: Damage from Mpls. #Tornado Estimated at $166M http://ow.ly/51VB4,25215374
197560982,false,finalized,3,9/6/2012 13:09:48,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,73189849947045600,,jonathanwitte,Tornado Kills 89 in Missouri. http://t.co/KhJUnPE,102156515
197560983,false,finalized,3,9/6/2012 12:34:53,"
122
122",People: dead,0.6606,"
n/a
n/a",Casualties and damage,,73192799020908400,,PoptartKL," @iamjonathancook: #Prayersforjoplin  @cnnbrk: #Tornado that killed 122 in Joplin, Missouri, was EF-5 with top winds of 200+ mph htt ...",265670146
197560984,false,finalized,3,9/6/2012 13:14:54,"1
1
1",People: dead,1.0,"n/a

",Casualties and damage,,76456460233605104,,LuceStephen," @pgammo: A hero is the mother in W. Springfield who as the tornado came lay on top of her child in a tub. Child lived, mother was killed",309130934
197560985,false,finalized,3,9/6/2012 13:14:19,"
n/a
",People: dead,1.0,"
n/a
",Casualties and damage,,75323934274367200,,JenaSimpson1,Missouri officials continue identifying tornado dead \n    (Reuters)\n: Reuters - Missouri officials continued ... http://yhoo.it/iUINyO,292171840
197560986,false,finalized,3,9/6/2012 12:57:41,"3
3
3",People: dead,1.0,"
n/a
",Casualties and damage,,77578899676069600,,angyelle, @weatherchannel: Sad news to report. 3 more people passed away recently due to injuries sustained during the #JoplinTornado. Total fa ...,15384095
197560987,true,golden,5,9/6/2012 13:14:19,"125
125
125
125
125",People: dead,1.0,"

n/a

",Casualties and damage,125,73521714394431200,People: dead,misslindadee,"#TFM City manager says Joplin tornado death toll rises to 125, no live rescues today - AP http://y... http://bit.ly/kgHRq2 #BreakingNews",33452988
197560988,false,finalized,3,9/6/2012 12:34:53,"
n/a
n/a","Infrastructure (building, bridge, road, etc.) damaged",0.6606,"
n/a
n/a",Casualties and damage,,73518270749224800,,lbstewart,"Tornado will cost Joplin, MO $1-3 billion.  City's annual budget is $80 million (via ABC News) #joplin #tornado",21907547
197560989,false,finalized,3,9/6/2012 13:14:54,"10
10
10",People: dead,1.0,"
n/a
",Casualties and damage,,73915178693038000,,maggiesnotebook,"Brothers Ryan, Colt Hamil Died in Piedmont, Oklahoma Tornado: Oklahoma Dead Reach 10 http://nblo.gs/imGly",18614189
197560990,false,finalized,3,9/6/2012 12:41:55,"124
124
124",People: dead,1.0,"
n/a
",Casualties and damage,,73197485459390400,,TwilightDesk,"#Twilight News In: Deadly tornado kills 124, leaves 'twilight zone' in its wake http://bit.ly/jxnC6T",164617272
197560991,false,finalized,3,9/6/2012 13:07:44,"116
116
116",People: dead,1.0,"
n/a
",Casualties and damage,,72761867667378000,,PhillipDeems,http://ow.ly/517lw The death toll has now risen to 116.  #Joplin  #Tragic,14245572
197560992,false,finalized,3,9/6/2012 12:40:22,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,74958978110599104,,molmstead3," @at_pitt:  @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",193826932
197560993,false,finalized,4,9/6/2012 13:15:43,"
n/a

",Not damage-related,0.5272,"
n/a

",Casualties and damage,,73373081934118800,,Mwforhr,Check out http://www.CNN.com/impact to see what agencies are helping relief efforts in tornado-hit areas & how you can help.. #Joplin,22819351
197560994,false,finalized,4,9/6/2012 13:15:43,"122 dead, 750 injured
122
122 confirmed dead, 750 injured
122 dead, 750 injured",People: injured and dead,0.7364,"
n/a

",Casualties and damage,,73156073804140400,,AshaTomlinson," @CBCAlerts: 122 confirmed dead, 750 injured in Joplin, Mo. tornado . #Tornado that hit #Joplin was EF5 with winds 322 km/h.",24156429
197560995,false,finalized,4,9/6/2012 13:15:43,"
n/a

","Infrastructure (building, bridge, road, etc.) damaged",0.7668,"homes and businesses
n/a
homes, businesses
",Casualties and damage,,73460217286889408,,karenbkcmo," @BreakingNews: Significant damage to homes, businesses after tornado touches down at Sedalia, Mo. http://bit.ly/gk6MtC",151528461
197560996,false,finalized,3,9/6/2012 12:55:50,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,72613811877711808,,labergieberg, @JenelleS_KVUE: (AP) -- Authorities confirm 89 dead after massive tornado hits southwest Missouri city #joplintornado,18919937
197560997,false,finalized,3,9/6/2012 12:50:17,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,75117442036281200,,ernest_aminata," @BarackObama: In Joplin, Missouri, today to visit with those who lost so much in last week's devastating tornado.",278044841
197560998,false,finalized,3,9/6/2012 12:34:25,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73480398184779600,,HersheyFree,EFCA | Tornado Relief http://fb.me/UP2nLkPB,28104604
197560999,false,finalized,3,9/6/2012 12:52:00,"4
4
4",People: dead,0.6421,"
n/a
",Casualties and damage,,76259689029054400,,annettegoerner,State of emergency declared in Massachusetts where tornado kills 4 people and injures dozens. @AMorningOttawa,248671787
197561000,false,finalized,3,9/6/2012 12:40:22,"123
123
123",People: dead,1.0,"
n/a
",Casualties and damage,,75721405857140704,,Sunniinqalaab,Names Of 123 Killed In Joplin Tornado Released - http://goo.gl/6SH1N,264271830
197561001,false,finalized,3,9/6/2012 12:55:50,"
n/a
",Not specified (maybe people or infrastructure),0.6746,"
n/a
",Casualties and damage,,76445321642774400,,tomwillsell,US tornado toll hits new record http://bit.ly/kLb6Ri,52894618
197561002,false,finalized,4,9/6/2012 13:14:19,"3
3
3
3",People: dead,0.7604,"
n/a

",Casualties and damage,,77558589681708800,,reinaldom, @weatherchannel: Sad news to report. 3 more people passed away recently due to injuries sustained during the #JoplinTornado. Total fa ...,15807353
197561003,false,finalized,3,9/6/2012 12:57:41,"7
7
7",People: dead,1.0,"
n/a
",Casualties and damage,,73233930903494400,,MalibuMel07,"Violent Weather Kills 7 in Oklahoma, Kansas - FoxNews.com http://t.co/mS3TfJh via @foxnews",45224234
197561004,false,finalized,3,9/6/2012 12:36:20,"20
20
20",People: dead,1.0,"
n/a
",Casualties and damage,,72560607999700800,,KAKEnews,Joplin police radio traffic says possibly 20 more bodied have been found near 20th and Connecticut. #joplin,19401084
197561005,false,finalized,3,9/6/2012 13:11:13,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
homes",Casualties and damage,,75265692647165904,,kappaalphaorder," @nathanmillsent: @kappaalphaorder Please : A tornado has destroyed the town of Joplin, MO. Delta Pi had brothers lose homes and nee ...",49625381
197561006,false,finalized,3,9/6/2012 12:57:41,"125
125
125",People: dead,1.0,"
n/a
",Casualties and damage,,74304399119351808,,felis_lupin," @CrossCzech17: A tornado kills 125 innocent people in Joplin.  One week later, Westboro Baptist Church protests in Joplin.  God - you ...",218045705
197561007,false,finalized,3,9/6/2012 12:55:50,"141
141
114",People: dead,1.0,"
n/a
",Casualties and damage,,77720662453649408,,USNewsReport,Death toll from Joplin tornado rises to 141: officials - Reuters http://reut.rs/jw1E4Z,265767423
197561008,false,finalized,3,9/6/2012 12:43:58,"134
134
134",People: dead,1.0,"
n/a
",Casualties and damage,,76046750871334800,,world_news_4u,"Death toll from Joplin tornado is 134, officials say (Reuters)  http://tiny.ly/dbpi",297730952
197561009,false,finalized,3,9/6/2012 12:45:55,"
n/a
",People: dead,1.0,"
n/a
",Casualties and damage,,73600929592647600,,Oilleader,"Tornado death toll rises, no more survivors found http://bit.ly/l8TGAq",267547468
197561010,false,finalized,3,9/6/2012 12:34:25,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6834,"Tree damage
n/a
minor tree damage",Casualties and damage,,73461635917946800,,Gayxman," @TWCBreaking: Reports of minor tree damage coming in from Overland Park, KS, per emerg. mgt.   #tornado",122809281
197561011,false,finalized,3,9/6/2012 12:36:20,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,74439989336866800,,waldeterossi," @nytimes: Delivering the bad news of the aftermath of the tornado weighs on a Joplin, Mo., police chaplain http://nyti.ms/iTohba",215710466
197561012,false,finalized,3,9/6/2012 12:52:00,"n/a

",Not damage-related,0.3579,"hospital

",Casualties and damage,,72595866690650000,,CarolCNN,#Joplin MO residents find X-rays from a hospital that was struck by a tornado 70 miles away,126629610
197561013,true,golden,4,9/6/2012 12:45:55,"89
89
89
89",People: dead,1.0,"
n/a
n/a
",Casualties and damage,89,72646038405660608,People: dead,Cort9999, @NBCActionNews: 89 confirmed deaths in #Joplin tornado #motornados,54106224
197561014,false,finalized,3,9/6/2012 13:07:44,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6746,"
n/a
St. John's Hospital",Casualties and damage,,72803153984225200,,BoHussey,Stunning  @BlairMiller9 CNN reports: X-rays from St. John's Hospital found 70 miles from #Joplin,21562858
197561015,false,finalized,3,9/6/2012 11:43:34,"n/a

",People: dead,1.0,"n/a

",Casualties and damage,,75400638544084800,,,#usnews Missouri officials continue identifying tornado dead ,
197561016,false,finalized,3,9/6/2012 11:43:34,"4
4
4",People: dead,1.0,"n/a

",Casualties and damage,,73218838719770400,,OtherMBWilliams," @MB_Williams MB_Williams: Tornado, storms kill 4 near Oklahoma City, officials say  http://tiny.ly/qZ3y http://bit.ly/kLPwGN",288754014
197561017,false,finalized,3,9/6/2012 12:54:00,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73000412524978000,,3haussies, @kathygriffin Watching you good folks & rescuers in #Joplin on the news. Devastation beyond imagine. Support @RedCross #tornado relief.,24992380
197561018,false,finalized,3,9/6/2012 12:27:44,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,72611686779072400,,SvrStrmChsrs, @NBCActionNews: 89 confirmed deaths in #Joplin tornado #motornados,30118510
197561019,false,finalized,3,9/6/2012 12:32:38,"1
1
a mom",People: dead,1.0,"
n/a
",Casualties and damage,,76398699361738704,,AshleyBoasso,So sad a mom died saving her daughter yesterday during the tornado http://bit.ly/jFrSjA @GetGlue #SpringfieldMassachusetts,23898335
197561020,false,finalized,3,9/6/2012 12:57:41,"134
134
134",People: dead,1.0,"
n/a
",Casualties and damage,,76149261905051600,,realnewslive,Photo: No More Missing After Joplin Tornado; 134 Dead Officials say they have accounted for all the people... http://tumblr.com/xg12suu0pt,277792122
197561021,false,finalized,3,9/6/2012 12:27:44,"1
1
1",People: dead,1.0,"
n/a
",Casualties and damage,,76776800843341600,,Lexyrai,"Ã¢â‚¬Å“@Drudge_Report: Police officer helping tornado cleanup in Joplin struck by lightning, dies... http://t.co/0Iu8jFFÃ¢â‚¬Â #WTF #DontMoveToJoplin",294308525
197561022,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,75400634840530800,,,#usnews Joplin tornado leaves thousands with no place to call home ,
