_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,how_many_injured_or_dead_if_people,people_or_infrastructure,people_or_infrastructure:confidence,what_infrastructure_was_damaged_if_infrastructure,category,how_many_injured_or_dead_if_people_gold,id,people_or_infrastructure_gold,screenname,text,userid
197561023,false,finalized,3,9/6/2012 12:33:23,"
Mother's heroic last act
1",People: dead,0.6746,"

n/a",Casualties and damage,,76410405186048000,,RawSigBoston,Mother's heroic last act saves daughter in tornado http://bit.ly/iQie4S,223672221
197561024,false,finalized,3,9/6/2012 13:12:49,"2
2
Two",People: dead,1.0,"
n/a
",Casualties and damage,,78865486741372800,,sgfnews,News-Leader: Two Joplin tornado victims die after suffering fungal infections http://dlvr.it/VhhDH,17808958
197561025,false,finalized,3,9/6/2012 12:40:22,"116
116
116",People: dead,1.0,"
n/a
",Casualties and damage,,72768850076237600,,Debra_Walker," @AdamSwenka:  @BreakingNews: Update: 116 confirmed dead in Joplin, city manager says #Joplin www.northpointchurch.tv/joplin",30881397
197561026,false,finalized,3,9/6/2012 12:41:55,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,77837980789784400,,NECN,FEMA teams assess Mass. tornado damage http://bit.ly/j3fBu1,9907172
197561027,false,finalized,3,9/6/2012 12:54:00,"
n/a
",Not damage-related,0.6834,"
n/a
",Casualties and damage,,74922300042002400,,MerylPageCNN,The city of #Joplin will observe a #momentofsilence at 6:41pmE/5:41pmC/2:41pmP today. The tornado hit Joplin at that time last Sunday,79542098
197561028,false,finalized,3,9/6/2012 13:14:19,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6834,"church
n/a
",Casualties and damage,,74290454534963200,,Gods_Lighthouse,"#PrayN4t/Lords  Healing & Restoration N Joplin. Church Destroyed By Tornado, Yet t/RoofTop Cross Still Standing, Refruge N #Jesus #Christ",92890115
197561029,false,finalized,3,9/6/2012 12:34:25,"
n/a
",Not specified (maybe people or infrastructure),0.6834,"
n/a
",Casualties and damage,,75202113826860800,,ErwinWarmerdam,Shocking before and after picture of the joplin missouri tornado devastation http://bit.ly/mgpTWV,22122719
197561030,false,finalized,3,9/6/2012 12:40:22,"125
125
125",People: dead,1.0,"
n/a
",Casualties and damage,,73562315433328608,,IKeyF_Italy,"CNN Top Stories: 125 dead in Joplin: Residents of tornado-ravaged Joplin, Missouri, again found themselves huddl... http://bit.ly/jV7arS",112046592
197561031,false,finalized,3,9/6/2012 12:45:55,"125
n/a
",People: dead,0.6834,"
n/a
",Casualties and damage,,73420528895012800,,BusinessScoop,FOX News: Tornado Death Toll Climbs http://bit.ly/kDqkC9,57673745
197561032,false,finalized,3,9/6/2012 12:38:29,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,76463702248914800,,StellaQuatrano,Cannot believe the aftermath of the tornado here in western mass. The damage is devastating.,186683961
197561033,false,finalized,3,9/6/2012 12:43:58,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6834,"Apartments
n/a
Apartments",Casualties and damage,,75189690998857600,,rustysurette, @nwoweather: Apartments on the East side of Chickasha that were damaged by a Tornado 5-24-11 http://yfrog.com/h0h6pesj,16292883
197561034,false,finalized,3,9/6/2012 12:54:00,"
n/a
",Not damage-related,0.6834,"
n/a
",Casualties and damage,,74297355620458400,,TounzDC," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",14634320
197561035,false,finalized,3,9/6/2012 13:07:44,"124
124
124",People: dead,1.0,"
n/a
",Casualties and damage,,73190900175605600,,AllTheLostOnes," @supadupaflygirl Just stop!!! :( : @cnnbrk: Joplin, Missouri, where at least 124 died Sunday, under #tornado watch http://t.co/hEbTeMu",15216454
197561036,false,finalized,3,9/6/2012 12:50:17,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,72731499006398400,,1800DENTIST4DDS, @kgh23: An update on the #Joplin #tornado and the #dental practices it affected in today's industry news update ... http://bit.ly/iDKN4m,254237111
197561037,false,finalized,3,9/6/2012 13:07:44,"15

15",Both people and infrastructure,0.3579,"n/a
15 homes
homes",Casualties and damage,,73482530438918000,,elSicomoro," @KMBZnews: Mo. tornado injures 15, damages homes in Sedalia http://bit.ly/iU3yJ6",19219883
197561038,false,finalized,3,9/6/2012 12:41:55,"n/a

",Not specified (maybe people or infrastructure),0.6421,"n/a

",Casualties and damage,,73279475827212000,,miggylikeyou,http://t.co/RHhCE8B via @Joplin #Tornado Tragedy: Hole in the Heart of Missouri Town,160880208
197561039,false,finalized,3,9/6/2012 12:38:29,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,76274402316132304,,OneMan_1Life,So I'm sitting here watching footage of this tornAdo that hit Springfield........#Tragic,198880958
197561040,false,finalized,3,9/6/2012 13:11:13,"4
4
4",People: dead,1.0,"
n/a
",Casualties and damage,,76094558122938304,,pamelaoldham," @txstormchasers: WCVB-TV reporting at least 4 fatalities from Brimfield, Westfield, and Springfield, Mass. #tornado #mawx #severe",30983350
197561041,false,finalized,3,9/6/2012 13:14:19,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.3579,"
n/a
",Casualties and damage,,73549692557991904,,emileeshake,@StephenWRhodes I think only one tornado touched down and no damage other than trees down.,124368113
197561042,false,finalized,3,9/6/2012 12:55:50,"
n/a
",Not damage-related,0.3579,"
n/a
",Casualties and damage,,74914895484821504,,KBIA,Opening prayer at #Joplin Memorial Service.,22699484
197561043,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73101348794679200,,francisko66,"@NBCNews: Tornado wreckage in  #Joplin, MO taken by @aaronsasson. http://instagr.am/p/EqbpK/",142757429
197561044,false,finalized,3,9/6/2012 13:07:44,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,75064559630684000,,anklebiter588," @StormChasersKC the power of the EF5 tornado to hit Joplin, still think your safe in a car? http://twitpic.com/54h21i",30293681
197561045,false,finalized,4,9/6/2012 13:14:19,"117
117
117
117",People: dead,0.7668,"
n/a

",Casualties and damage,,73106769106309104,,samlcarr," @nytjim: #Joplin update: Officials say 1,500 people unaccounted for after #tornado. 117 confirmed deaths. http://nyti.ms/iZmvXR",14656634
197561046,true,golden,3,9/6/2012 12:54:00,"151
151
151",People: dead,1.0,"
n/a
",Casualties and damage,151,79650161760018400,People: dead,AllisonChinchar, @TheTornadoAllie: SPC has upped its death toll to 151 for the Joplin MO tornado. SPC also added 1 more killer tornado in OK from May  ...,202594712
197561047,false,finalized,3,9/6/2012 12:57:41,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73885890723844000,,mautij," @NatGeoSociety: Photos: Devastating aftermath of #Joplin, Missouri #tornado http://on.natgeo.com/iRx34h",114863571
197561048,false,finalized,3,9/6/2012 12:52:00,"
n/a
",Not damage-related,0.3579,"
n/a
",Casualties and damage,,76258013723361200,,Khollow76,Springfield ma. got hit hard last night by a tornado SMH,264485445
197561049,false,finalized,3,9/6/2012 12:27:44,"8
n/a
8",People: dead,0.6834,"
n/a
",Casualties and damage,,73343918812561408,,KRMGWeather,BREAKING: State Medical examiner's office confirms 8 fatalities in Oklahoma from last nights tornado outbreak,221801361
197561050,false,finalized,3,9/6/2012 12:48:30,"139
139
139",People: dead,1.0,"
n/a
",Casualties and damage,,74491068678291200,,MsLesha," @BreakingNews City spokeswoman in Joplin, Mo., says deathtoll from massive tornado now at least 139 people - AP",21276885
197561051,false,finalized,3,9/6/2012 12:43:58,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73385690020319200,,rlycanthos," @Billyjensen: Joplin, MO before/after Tornado http://twitpic.com/522mfn via @Keith_Rob",30154074
197561052,false,finalized,3,9/6/2012 12:54:00,"43
43
43",People: dead,1.0,"
n/a
",Casualties and damage,,76229308963762208,,Regiofora_AL,#US Tuscaloosa County death toll from tornado increases to 43: After holding steady for almost... http://bit.ly/jcgV1T #Tuscaloosa #News,226310686
197561053,false,finalized,3,9/6/2012 13:14:19,"2
n/a
",Not damage-related,0.3579,"
n/a
",Casualties and damage,,78878897340551104,,ozarksnewsnow,Two Joplin tornado victims die after suffering fungal infections http://dlvr.it/Vhyhs,115398848
197561054,false,finalized,3,9/6/2012 13:11:13,"134
134
134",People: dead,1.0,"
n/a
",Casualties and damage,,76087940865994704,,us_news247,#usnews Officials: 134 Confirmed Dead After Joplin Tornado http://tinyurl.com/3nyqmy2,231393396
197561055,false,finalized,3,9/6/2012 11:43:34,"n/a

",Not specified (maybe people or infrastructure),1.0,"n/a

",Casualties and damage,,75588442116980704,,CCSExperts, @RWJF_PubHealth: Post-Tornado #Environmental #Health Risks in #Joplin: http://bit.ly/lAsTP8,174290996
197561056,false,finalized,3,9/6/2012 13:14:19,"30
30
30",People: dead,1.0,"
n/a
",Casualties and damage,,72635251523981200,,TVGmediaguy, @StephanieAbrams: Per Missouri EMA: Current #Joplintornado death toll is 30.Per Dr.Forbes: will be deadliest on record in Jasper Coun ...,21712968
197561057,false,finalized,3,9/6/2012 12:52:00,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,74095475808145408,,FridleyPatch, @AnokaCounty: US Sen Klobuchar and @SivarajahMN will be looking at tornado damage later this morning in Fridley,159612777
197561058,false,finalized,3,9/6/2012 12:48:30,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6834,"trees down and one building destroyed
n/a
Multiple trees down, one building destroyed",Casualties and damage,,73562498883784704,,SevereAlertsNow," @TWCBreaking: Possible #tornado damage reported near Union City, TN.  Multiple trees down, one building destroyed.",304845022
197561059,false,finalized,3,9/6/2012 12:54:00,"116 fatalities....400 injured
116
116 fatalities, 400 injured",People: injured and dead,0.6834,"
n/a
",Casualties and damage,,72776566261809104,,oldiesmann," @TWCBreaking: NWS:  Path width of #Joplin, MO #tornado was 3/4 mile wide.  116 fatalities....400 injured.",50544023
197561060,false,finalized,3,9/6/2012 12:32:38,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,78237177615618000,,ladypaw65, @horselady3: Brimfield Horse Impaled During Tornado Is Expected To Survive ... http://bit.ly/jA4KOQ,255145969
197561061,false,finalized,3,9/6/2012 11:43:34,"140
140
140",People: dead,1.0,"n/a

",Casualties and damage,,74507880455352304,,kstannfield," @erinedgar: A receipt from Joplin Missouri traveled 550 miles after last week's tornado to end up in Indiana. 140 dead, 160 missing.",35132079
197561062,false,finalized,3,9/6/2012 12:41:55,"117
117
117",People: dead,1.0,"
n/a
",Casualties and damage,,73032323381207008,,LisaAJK," @emmamcgreen: Death toll for #Joplin at 117.  To help, text REDCROSS to 90999 to donate $10.  Please .  @FleurDeKat @Tom_Bergeron @ ...",14655108
197561063,false,finalized,3,9/6/2012 13:12:20,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73426578419363808,,crazy1eye,before / after shot of the Joplin tornado http://goo.gl/WypXX,49978952
197561064,false,finalized,3,9/6/2012 13:09:48,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,75774970466287600,,KayleexxMarie," @jackassworld:  @daveenglandshit: Preston Lacy's home town, Joplin, Missouri, was destroyed a week ago by a tornado. Text JOPLIN to ...",30424019
197561065,false,finalized,3,9/6/2012 12:36:20,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73269112272470000,,LolinaLautoa,"A rare multivortex tornado swept through Joplin, Missouri on Sunday night. Keep the victims in your prayers.",177311635
197561066,false,finalized,3,9/6/2012 13:14:54,"141
141
141",People: dead,1.0,"
n/a
",Casualties and damage,,77705108342841200,,DTNUSA,DTN USA: Death toll from Joplin tornado rises to 141: officials: CHICAGO (Reuters) - The death toll from the May... http://bit.ly/jHc7E9,219913533
197561067,false,finalized,3,9/6/2012 12:45:55,"house
n/a
","Infrastructure (building, bridge, road, etc.) damaged",1.0,"
n/a
home",Casualties and damage,,72726026563751904,,HempBuzz,#Joplin NORMLÃ¢â‚¬â„¢s Kelly Maddy loses #Missouri home to #tornado; please help!: Kelly's house wasÃ¢â‚¬Â¦ http://nxy.in/tn8fr,97559554
197561068,false,finalized,3,9/6/2012 13:14:19,"
n/a
1",People: dead,0.3579,"
n/a
",Casualties and damage,,79694351831281600,,cdfmirok,"Oklahoma tornado sweeps away young horse fancier's life, but strangers repl http://t.co/J5M15Ol",269210069
197561069,false,finalized,3,9/6/2012 12:32:38,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73469791108730800,,groovyhomebody,"35 Devastating Photos Of The Joplin, Missouri Tornado http://bzfd.it/mpW4Ca.... and you thought you were having a bad day: think again!!",50062540
197561070,false,finalized,3,9/6/2012 12:55:50,"
n/a
","Infrastructure (building, bridge, road, etc.) damaged",0.6746,"
n/a
Playhouse theatre",Casualties and damage,,72698562223407104,,borntorunnergrl,Playhouse theatre in #Joplin. You can see the chairs if you look close.  http://twitpic.com/51k7t6,23210503
197561071,false,finalized,3,9/6/2012 12:27:44,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,74230393427066800,,CarpeDiemFlores,The tornado made the town of Etna look like a junk yard.  :( http://lockerz.com/s/105312284,18929341
197561072,false,finalized,3,9/6/2012 13:11:13,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,74281989292834800,,ALYRPAL," @TIME: This dog was sucked up by a tornado, but crawled home on two broken legs | http://ti.me/kVEEDu (via @TIMENewsFeed)",36970363
197561073,false,finalized,3,9/6/2012 12:27:44,"116
116
116",People: dead,1.0,"
n/a
",Casualties and damage,,72759836672147200,,bigbodyscotty," @lgc_com: Unreal  @TWCBreaking: Now confirmed 116 dead in Joplin, MO #tornado.Single deadliest #tornado since Woodward, OK (9 Apr 1 ...",16088049
197561074,false,finalized,3,9/6/2012 12:50:17,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,78809765676982208,,HomesBusiness,"Slow recovery from tornado in Kaukauna taking toll on residents: ""When there is so much devastation, it will take more than a few wee...",92982751
197561075,false,finalized,3,9/6/2012 12:48:30,"2
n/a
2",People: injured,0.6834,"
n/a
",Casualties and damage,,72806188860981200,,JMOinKY," @TWCBreaking: We have confirmation that 2 police officers were struck by lightning in #Joplin, their conditions are unknown at this time.",42484599
197561076,false,finalized,3,9/6/2012 12:50:17,"124
124
124",People: dead,1.0,"
n/a
",Casualties and damage,,73191331765288800,,swaman85," @cnnbrk: Joplin, Missouri, where at least 124 died Sunday, under #tornado watch http://on.cnn.com/k1ZN2b",195532408
197561077,false,finalized,3,9/6/2012 12:45:55,"89
89
89",People: dead,1.0,"
n/a
",Casualties and damage,,72612411693203200,,cnnmornings,"Breaking: 89 confirmed dead in #Joplin, MO as a result of the devastating tornado that hit Sunday. #CNN has live reports from the scene",22958682
197561078,false,finalized,3,9/6/2012 12:48:30,"120
n/a
120",People: dead,0.6834,"
n/a
",Casualties and damage,,73467280813596608,,auticomics,"rb @ditisConny: ""RB @Greenfields47: ""everybody is hurting in joplin(120 casualties) tornado""....Total is 500 Cas... Ã¢â„¢Â« http://blip.fm/~14uu79",30633700
197561079,false,finalized,3,9/6/2012 12:41:55,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,76050319183855600,,Avamaes5,"Injuries, damage in Mass. tornado: A tornado that caused damage in Springfield, Mass., Wednesday afternoon was still on the ground an...",142873686
197561080,false,finalized,3,9/6/2012 12:43:58,"125
n/a
",People: dead,0.6834,"
n/a
",Casualties and damage,,73545851091435504,,ebony_bennett," @ABCEnvironment: Death toll from US tornadoes climbs. 1,500 still missing http://bit.ly/jLSpfk #weather #joplin",34559474
197561081,false,finalized,3,9/6/2012 12:50:17,"11
11
11",People: dead,1.0,"
n/a
",Casualties and damage,,73079341461938000,,KCTV5,(AP) -- Nursing home owner in #Joplin says Sunday's tornado killed 11 from his property alone,14861004
197561082,false,finalized,3,9/6/2012 13:09:48,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,73235957549244400,,greeklamb,The devastation at Joplin is heart breaking. My prayers go out to the victims of the tornado.,49841587
197561083,false,finalized,3,9/6/2012 12:38:29,"116
116
116",People: dead,1.0,"
n/a
",Casualties and damage,,72762049393995600,,admrich, @ABC: #BreakingNews: Midwest Tornado Death Toll Rises Sharply to 116 #Joplin #Missouri,17727049
197561084,false,finalized,3,9/6/2012 12:55:50,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73173130910244800,,anitasantiago," @WorldVisionNews: Day 1 assessment in #Joplin, #Missouri found #tornado damage even more severe than #Tuscaloosa  ... #WorldVision",24103268
197561085,false,finalized,3,9/6/2012 12:48:30,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,74922257109098400,,Shaybert,What the country and the world have witnessed this week is the Spirit of  #Joplin Missouri MO Gov Jay Nixon,19720264
197561086,false,finalized,3,9/6/2012 11:43:34,"n/a

130",Not specified (maybe people or infrastructure),1.0,"n/a

",Casualties and damage,,73035266755006400,,Saffarny," @NatGeoSociety: Photos: Devastating aftermath of #Joplin, Missouri #tornado http://on.natgeo.com/iRx34h",182538078
197561087,false,finalized,3,9/6/2012 13:12:49,"
n/a
",Not specified (maybe people or infrastructure),1.0,"
n/a
",Casualties and damage,,73350479685500800,,LILTRUMP360," @BreakingNews: Denning, Arkansas, which has 100 homes, is destroyed by tornado - National Weather Service via KNWA http://bit.ly/k2Sbkv",94660110
197561088,false,finalized,3,9/6/2012 12:38:29,"
n/a
",Not specified (maybe people or infrastructure),0.6421,"
n/a
",Casualties and damage,,75654429348593600,,SenAlexander,Sen. Alexander will tour tornado-damaged areas in Greene and Washington counties on Wednesday afternoon. http://bit.ly/lb726p.,76649729
197561089,false,finalized,3,9/6/2012 12:43:58,"18
n/a
",Not damage-related,0.3579,"
n/a
",Casualties and damage,,76251936172687200,,officialgailie," @GMA: 18 tornado reports yesterday including 7 in Massachusetts, 4 in California and the rest in Nebraska and Kansas (via NWS)",39735161
197561090,false,finalized,3,9/6/2012 12:34:53,"130
130
130",People: dead,1.0,"

n/a",Casualties and damage,,74118735975288800,,LibyanINAmerica," @BreakingNews: Joplin mayor Mike Woolston says more bodies found this morning, bringing tornado death toll to 130 - NBC News",253746032
197561091,false,finalized,3,9/6/2012 12:34:25,"n/a

",Not specified (maybe people or infrastructure),0.6421,"n/a

",Casualties and damage,,74249624017305600,,Anipalinfo,Video of Kitten Found in Joplin Missouri Tornado Debris  http://bit.ly/l6NHKw,93585859
197561092,false,finalized,3,9/6/2012 12:34:25,"n/a

",Not specified (maybe people or infrastructure),1.0,"n/a

",Casualties and damage,,75631456180912000,,NTLInsurance,Damage from the Joplin Tornado . . . Devastating http://fb.me/RPgEae8u,197433821
197561093,false,finalized,3,9/6/2012 12:57:41,"
n/a
",Not damage-related,0.3579,"power
n/a
",Casualties and damage,,78581107230121904,,JosephSapia," @CBCAlerts: Storm leaves 70,000 without power in southern Ontario . Possible tornadoes reported north of Toronto. #tornado",243385206
